,name,cmp,p/e,mar_cap,div_yld_%,np_qtr,qtr_profit_%,sales_qtr,qtr_saeles_%,roce_%,pat_ann
363,Rites,709.0,37.38,17037.41,2.92,136.67,-4.48,643.25,-6.34,24.76,455.4
364,Redington,216.6,13.83,16933.2,2.9,323.89,4.45,22433.41,2.68,18.29,1218.62
365,IFCI,64.62,163.57,16888.99,0.0,157.33,154.61,605.42,46.36,10.25,103.23
366,Anand Rathi Wea.,4012.35,74.59,16782.98,0.35,56.86,32.83,184.28,28.9,50.74,224.97
367,National High,127.5,61.15,16730.56,,65.73,-13.74,240.57,10.45,2.71,273.59
368,Raymond,2489.5,9.93,16581.2,0.4,229.79,-16.17,2608.5,21.32,30.93,1672.42
369,Indian Energy Ex,185.8,48.42,16567.73,1.34,95.1,14.76,121.28,13.31,,341.44
370,Sanofi India,7180.6,29.14,16536.93,2.32,136.6,-12.83,732.4,-0.56,71.1,590.52
371,G R Infraproject,1707.55,15.17,16510.13,0.0,553.09,-20.73,2485.12,0.98,17.0,1088.61
372,Concord Biotech,1575.0,55.96,16477.03,0.56,97.21,3.96,318.97,17.01,27.87,294.25
373,KSB,4724.05,77.49,16458.8,0.37,44.6,9.05,544.2,11.15,23.29,208.57
374,Krishna Institu.,2051.0,52.95,16413.7,0.0,71.49,-29.81,633.8,10.05,16.71,310.15
375,Jyothy Labs,443.65,44.24,16291.17,0.77,78.15,32.39,659.99,6.98,27.97,369.3
376,Asahi India Glas,669.95,50.13,16286.47,0.31,73.25,7.61,1105.01,3.04,14.92,325.05
377,Manappuram Fin.,191.75,7.42,16230.33,1.91,563.49,35.84,2359.77,32.9,13.75,2188.67
378,Techno Elec.Engg,1500.0,59.54,16142.81,0.39,77.54,1414.45,439.62,40.47,16.5,271.03
379,Astrazeneca Phar,6452.2,107.86,16130.5,0.25,39.48,-19.63,383.2,34.6,31.14,149.49
380,Century Plyboard,725.25,49.5,16113.07,0.14,78.41,-31.58,1060.72,9.87,18.02,325.33
381,Zensar Tech.,705.0,24.03,15978.96,0.71,173.3,45.39,1229.7,1.41,25.63,665.0
382,DCM Shriram,1020.8,37.89,15918.61,0.64,117.8,-36.89,2399.28,-11.79,8.99,419.81
383,RBL Bank,260.0,13.5,15760.33,0.58,352.64,30.1,3339.09,26.37,6.8,1167.92
384,Sonata Software,558.0,38.11,15647.62,1.4,110.36,-3.0,2191.61,14.53,35.49,410.35
385,Zee Entertainmen,160.85,47.54,15449.96,0.0,13.35,115.54,2169.92,2.74,6.62,324.54
386,Jai Balaji Inds.,892.0,17.48,15383.23,0.0,272.98,2187.0,1845.6,7.05,61.05,879.56
387,Indiamart Inter.,2561.5,45.88,15363.68,0.78,99.6,78.49,314.7,17.08,23.93,334.79
388,Engineers India,270.65,34.23,15211.69,1.1,115.52,-39.26,805.14,-8.52,22.55,445.26
389,Anant Raj,443.3,58.13,15156.05,0.16,84.01,61.71,442.59,57.98,8.54,260.91
390,AAVAS Financiers,1894.2,30.57,14990.65,0.0,142.62,12.52,546.02,21.47,9.91,490.69
391,Godawari Power,1088.7,15.8,14800.28,0.34,218.85,21.85,1529.81,16.19,29.67,935.59
392,Ramkrishna Forg.,816.0,43.17,14752.66,0.28,93.85,37.11,1023.26,14.76,18.66,341.44
393,Olectra Greentec,1796.2,191.89,14743.31,0.02,14.89,-49.24,288.81,-23.17,14.79,76.83
394,BLS Internat.,357.95,47.14,14738.19,0.21,85.45,56.09,447.71,-0.21,30.63,312.97
395,C P C L,988.15,5.43,14714.72,2.66,612.38,-39.02,17720.18,-1.6,34.64,2711.25
396,Elecon Engg.Co,1299.85,41.28,14584.4,0.23,103.65,52.56,564.62,33.0,31.32,352.81
397,Ingersoll-Rand,4620.0,65.55,14575.2,1.07,63.87,-4.83,303.64,-0.25,51.34,222.39
398,Mahanagar Gas,1470.1,11.21,14521.32,1.75,264.99,-1.42,1567.05,-2.7,36.6,1289.07
399,Clean Science,1363.3,59.39,14485.25,0.37,70.27,-12.74,227.53,4.92,29.53,244.03
400,Welspun Living,148.25,21.44,14407.1,0.07,130.55,4.12,2575.24,19.56,16.12,672.74
401,Intellect Design,1050.65,43.7,14385.21,0.33,73.35,-19.51,613.67,-0.3,20.32,329.62
402,Fine Organic,4687.35,39.08,14371.38,0.19,104.31,-24.15,521.52,-25.35,29.06,367.97
403,Netweb Technol.,2544.0,188.96,14339.49,0.0,29.66,181.67,265.89,115.49,38.52,75.9
404,Vardhman Textile,494.0,22.59,14285.27,0.73,202.13,26.36,2459.41,-1.05,8.8,631.59
405,HBL Power System,512.1,47.22,14195.17,0.09,81.21,174.77,610.09,51.53,34.42,300.8
406,RHI Magnesita,687.0,104.24,14186.61,0.36,-257.9,297.92,943.29,7.83,8.41,136.12
407,Welspun Corp,539.8,12.78,14124.73,0.91,287.28,13.53,4461.17,9.61,21.58,1109.78
408,Firstsour.Solu.,200.0,27.36,14098.34,1.74,133.5,-5.52,1670.46,7.3,14.67,514.73
